,MCC,loss,accy,diff,epoch
0,,0.678,0.552,1.0,0.0
1,0.169,0.607,0.638,-0.966,3.0
2,0.183,0.689,0.517,0.931,0.0
3,0.329,0.642,0.655,0.241,2.0
4,0.493,0.476,0.741,0.138,11.0
Mean,0.2935,0.6184000000000001,0.6206,0.2688,3.2
