,StockID,ending_date,up_prob,ret_val,MarketCap
62,USDT_DOGE_perpetual_swap,2024-01-29,0.48829597,-0.02002949,81380.0
63,USDT_DOGE_perpetual_swap,2024-02-05,0.5106347,0.0020423795,78340.0
64,USDT_DOGE_perpetual_swap,2024-02-12,0.49987036,-0.015528327,82430.0
65,USDT_DOGE_perpetual_swap,2024-02-19,0.45150724,-0.03803681,89650.0
66,USDT_DOGE_perpetual_swap,2024-02-26,0.42426482,0.09415838,89530.0
67,USDT_DOGE_perpetual_swap,2024-03-04,0.45293212,-0.15483905,183610.0
68,USDT_DOGE_perpetual_swap,2024-03-11,0.4396538,-0.07834127,182790.0
69,USDT_DOGE_perpetual_swap,2024-03-18,0.46529427,-0.10180681,143900.0
70,USDT_DOGE_perpetual_swap,2024-03-25,0.5243844,0.04289132,175560.0
71,USDT_DOGE_perpetual_swap,2024-04-01,0.46958017,-0.11256379,205750.0
72,USDT_DOGE_perpetual_swap,2024-04-08,0.41767803,-0.06733658,203010.0
73,USDT_DOGE_perpetual_swap,2024-04-15,0.4898693,-0.034154188,161620.0
74,USDT_DOGE_perpetual_swap,2024-04-22,0.5142876,-0.008064016,161210.0
75,USDT_DOGE_perpetual_swap,2024-04-29,0.5245563,-0.07022433,143540.0
76,USDT_DOGE_perpetual_swap,2024-05-06,0.47668678,-0.040357597,156600.0
77,USDT_LDO_perpetual_swap,2024-01-01,0.464612,-0.016935235,2922900.0
78,USDT_LDO_perpetual_swap,2024-01-08,0.43229714,0.16465108,3133900.0
79,USDT_LDO_perpetual_swap,2024-01-15,0.46424603,0.054881606,3256100.0
80,USDT_LDO_perpetual_swap,2024-01-22,0.42086434,-0.007667072,2712900.0
81,USDT_LDO_perpetual_swap,2024-01-29,0.4996,-0.039667957,3156200.0
82,USDT_LDO_perpetual_swap,2024-02-05,0.46413064,0.037354723,2693100.0
83,USDT_LDO_perpetual_swap,2024-02-12,0.5167749,-0.0060410406,3128600.0
84,USDT_LDO_perpetual_swap,2024-02-19,0.4260133,-0.04511587,3409000.0
85,USDT_LDO_perpetual_swap,2024-02-26,0.40977168,-0.042003144,3628300.0
86,USDT_LDO_perpetual_swap,2024-03-04,0.47931433,-0.050416846,3286600.0
87,USDT_LDO_perpetual_swap,2024-03-11,0.46456414,-0.018455531,3381100.0
