,ret,std,SR
Low,0.6701002466188516,0.6327522228476549,1.059024721561806
2,-0.10246079222522733,0.8192259087233724,-0.12507025367995925
3,-1.083708358446188,0.9301534094572017,-1.16508561644535
4,0.7363757458047104,0.7488042623863586,0.9834021823780226
5,-0.3532882531185426,0.7631007282432464,-0.4629641147530504
6,-1.1724531449962317,1.0934225739301762,-1.0722781593780248
7,0.5675547649864332,0.7932304071356154,0.7154979938753163
8,0.6202729317663858,0.6198859159202343,1.000624333988258
9,0.2855905698072518,0.91129670281056,0.3133892275989286
High,0.27419634550035804,0.7580932336461869,0.36169211560108644
H-L,-0.3959039011184938,0.5388192526429673,-0.7347619803422798
Turnover,,,7.376660815162527
